id	codigo	descricao	data_publicacao_fake	data_publicacao
	2703502	Jacuípe	1012009	01-01-2009
	2703601	Japaratinga	1012009	01-01-2009
	2703700	Jaramataia	1012009	01-01-2009
	2703759	Jequiá da Praia	1012009	01-01-2009
	2703809	Joaquim Gomes	1012009	01-01-2009
	2703908	Jundiá	1012009	01-01-2009
	2704005	Junqueiro	1012009	01-01-2009
	2704104	Lagoa da Canoa	1012009	01-01-2009
	2704203	Limoeiro de Anadia	1012009	01-01-2009
	2704302	Maceió	1012009	01-01-2009
	2704401	Major Isidoro	1012009	01-01-2009
	2704906	Mar Vermelho	1012009	01-01-2009
	2704500	Maragogi	1012009	01-01-2009
	2704609	Maravilha	1012009	01-01-2009
	2704708	Marechal Deodoro	1012009	01-01-2009
	2704807	Maribondo	1012009	01-01-2009
	2705002	Mata Grande	1012009	01-01-2009
	2705101	Matriz de Camaragibe	1012009	01-01-2009
	2705200	Messias	1012009	01-01-2009
	2705309	Minador do Negrão	1012009	01-01-2009
	2705408	Monteirópolis	1012009	01-01-2009
	2705507	Murici	1012009	01-01-2009
	2705606	Novo Lino	1012009	01-01-2009
	2705705	Olho d'Água das Flores	1012009	01-01-2009
	2705804	Olho d'Água do Casado	1012009	01-01-2009
	2705903	Olho d'Água Grande	1012009	01-01-2009
	2706000	Olivença	1012009	01-01-2009
	2706109	Ouro Branco	1012009	01-01-2009
	2706208	Palestina	1012009	01-01-2009
	2706307	Palmeira dos Índios	1012009	01-01-2009
	2706406	Pão de Açúcar	1012009	01-01-2009
	2706422	Pariconha	1012009	01-01-2009
	2706448	Paripueira	1012009	01-01-2009
	2706505	Passo de Camaragibe	1012009	01-01-2009
	2706604	Paulo Jacinto	1012009	01-01-2009
	2706703	Penedo	1012009	01-01-2009
	2706802	Piaçabuçu	1012009	01-01-2009
	2706901	Pilar	1012009	01-01-2009
	2707008	Pindoba	1012009	01-01-2009
	2707107	Piranhas	1012009	01-01-2009
	2707206	Poço das Trincheiras	1012009	01-01-2009
	2707305	Porto Calvo	1012009	01-01-2009
	2707404	Porto de Pedras	1012009	01-01-2009
	2707503	Porto Real do Colégio	1012009	01-01-2009
	2707602	Quebrangulo	1012009	01-01-2009
	2707701	Rio Largo	1012009	01-01-2009
	2707800	Roteiro	1012009	01-01-2009
	2707909	Santa Luzia do Norte	1012009	01-01-2009
	2708006	Santana do Ipanema	1012009	01-01-2009
	2708105	Santana do Mundaú	1012009	01-01-2009
	2708204	São Brás	1012009	01-01-2009
	2708303	São José da Laje	1012009	01-01-2009
	2708402	São José da Tapera	1012009	01-01-2009
