codigo	unidade	data_publicacao	data_validade	descricao_unidade	
7052100	KG	01/01/2016		Quilograma	
7052900	KG	01/01/2016		Quilograma	
7061000	KG	01/01/2016		Quilograma	
7069000	KG	01/01/2016		Quilograma	
7070000	KG	01/01/2016		Quilograma	
7081000	KG	01/01/2016		Quilograma	
7082000	KG	01/01/2016		Quilograma	
7089000	KG	01/01/2016		Quilograma	
7092000	KG	01/01/2016		Quilograma	
7093000	KG	01/01/2016		Quilograma	
7094000	KG	01/01/2016		Quilograma	
7095100	KG	01/01/2016		Quilograma	
7095900	KG	01/01/2016		Quilograma	
7096000	KG	01/01/2016		Quilograma	
7097000	KG	01/01/2016		Quilograma	
7099100	KG	01/01/2016		Quilograma	
7099200	KG	01/01/2016		Quilograma	
7099300	KG	01/01/2016		Quilograma	
7099911	KG	01/01/2016		Quilograma	
7099919	KG	01/01/2016		Quilograma	
7099990	KG	01/01/2016		Quilograma	
7101000	KG	01/01/2016		Quilograma	
7102100	KG	01/01/2016		Quilograma	
7102200	KG	01/01/2016		Quilograma	
7102900	KG	01/01/2016		Quilograma	
7103000	KG	01/01/2016		Quilograma	
7104000	KG	01/01/2016		Quilograma	
7108000	KG	01/01/2016		Quilograma	
7109000	KG	01/01/2016		Quilograma	
7112010	KG	01/01/2016		Quilograma	
7112020	KG	01/01/2016		Quilograma	
7112090	KG	01/01/2016		Quilograma	
7114000	KG	01/01/2016		Quilograma	
7115100	KG	01/01/2016		Quilograma	
7115900	KG	01/01/2016		Quilograma	
7119000	KG	01/01/2016		Quilograma	
7122000	KG	01/01/2016		Quilograma	
7123100	KG	01/01/2016		Quilograma	
7123200	KG	01/01/2016		Quilograma	
7123300	KG	01/01/2016		Quilograma	
7123900	KG	01/01/2016		Quilograma	
7129010	KG	01/01/2016		Quilograma	
7129090	KG	01/01/2016		Quilograma	
7131010	KG	01/01/2016		Quilograma	
7131090	KG	01/01/2016		Quilograma	
7132010	KG	01/01/2016		Quilograma	
7132090	KG	01/01/2016		Quilograma	
7133110	KG	01/01/2016		Quilograma	
7133190	KG	01/01/2016		Quilograma	
7133210	KG	01/01/2016		Quilograma	
7133290	KG	01/01/2016		Quilograma	
7133311	KG	01/01/2016		Quilograma	
7133319	KG	01/01/2016		Quilograma	
7133321	KG	01/01/2016		Quilograma	
7133329	KG	01/01/2016		Quilograma	
7133391	KG	01/01/2016		Quilograma	
7133399	KG	01/01/2016		Quilograma	
7133410	KG	01/01/2016		Quilograma	
7133490	KG	01/01/2016		Quilograma	
7133510	KG	01/01/2016		Quilograma	
7133590	KG	01/01/2016		Quilograma	
7133910	KG	01/01/2016		Quilograma	
7133990	KG	01/01/2016		Quilograma	
7134010	KG	01/01/2016		Quilograma	
7134090	KG	01/01/2016		Quilograma	
7135010	KG	01/01/2016		Quilograma	
